panel,pattern,cohort,phase_mode,window_type,window_value,threshold,n_attempted,n_applicable,n_defined,n_undefined,n_at_or_above,pct_defined_at_or_above
A,C1,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,43607,6393,43607,100.0
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,43607,6393,19555,44.84371775173711
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.69,50000,50000,43607,6393,11748,26.940628798128742
A,C1,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,43607,6393,10618,24.349301717614143
A,C1,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,43607,6393,6039,13.848694017015617
A,C1,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,43607,6393,4622,10.599215722246429
A,C1,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,43607,6393,3385,7.762515192514964
A,C1,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,43607,6393,3106,7.122709656706492
A,C1,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,43607,6393,2900,6.650308436718875
A,C1,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,43607,6393,2539,5.822459696837663
A,C1,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,43607,6393,2454,5.627536863347627
A,C1,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,43607,6393,2297,5.267502923842502
A,C1,population,strict_herzog,cycle,3,0.0,50000,50000,43653,6347,43653,100.0
A,C1,population,strict_herzog,cycle,3,1.0,50000,50000,43653,6347,19669,45.057613451538266
A,C1,population,strict_herzog,cycle,3,1.69,50000,50000,43653,6347,11967,27.413923441687857
A,C1,population,strict_herzog,cycle,3,2.0,50000,50000,43653,6347,10764,24.658099099718232
A,C1,population,strict_herzog,cycle,3,3.0,50000,50000,43653,6347,6116,14.010491833321879
A,C1,population,strict_herzog,cycle,3,4.0,50000,50000,43653,6347,4756,10.895012942982154
A,C1,population,strict_herzog,cycle,3,5.0,50000,50000,43653,6347,3498,8.01319496941791
A,C1,population,strict_herzog,cycle,3,6.0,50000,50000,43653,6347,3257,7.461113783703296
A,C1,population,strict_herzog,cycle,3,7.0,50000,50000,43653,6347,3071,7.035026229583305
A,C1,population,strict_herzog,cycle,3,8.0,50000,50000,43653,6347,2661,6.095800975877946
A,C1,population,strict_herzog,cycle,3,9.0,50000,50000,43653,6347,2567,5.880466405516231
A,C1,population,strict_herzog,cycle,3,10.0,50000,50000,43653,6347,2418,5.539138203559893
B,C2,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,44005,5995,44005,100.0
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,44005,5995,20212,45.93114418816044
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.83,50000,50000,44005,5995,11282,25.63799568230883
B,C2,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,44005,5995,10255,23.304169980684012
B,C2,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,44005,5995,6529,14.836950346551529
B,C2,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,44005,5995,4786,10.87603681399841
B,C2,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,44005,5995,3908,8.88080899897739
B,C2,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,44005,5995,3455,7.851380524940348
B,C2,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,44005,5995,3117,7.083285990228383
B,C2,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,44005,5995,2915,6.624247244631292
B,C2,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,44005,5995,2811,6.387910464719918
B,C2,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,44005,5995,2697,6.128848994432451
B,C2,population,strict_herzog,cycle,3,0.0,50000,50000,44349,5651,44349,100.0
B,C2,population,strict_herzog,cycle,3,1.0,50000,50000,44349,5651,20802,46.9052289792329
B,C2,population,strict_herzog,cycle,3,1.83,50000,50000,44349,5651,11554,26.052447631288192
B,C2,population,strict_herzog,cycle,3,2.0,50000,50000,44349,5651,10489,23.65104060970935
B,C2,population,strict_herzog,cycle,3,3.0,50000,50000,44349,5651,6746,15.211165978939773
B,C2,population,strict_herzog,cycle,3,4.0,50000,50000,44349,5651,5050,11.386953482603891
B,C2,population,strict_herzog,cycle,3,5.0,50000,50000,44349,5651,4207,9.486121445804866
B,C2,population,strict_herzog,cycle,3,6.0,50000,50000,44349,5651,3792,8.550361902184942
B,C2,population,strict_herzog,cycle,3,7.0,50000,50000,44349,5651,3516,7.9280254346208485
B,C2,population,strict_herzog,cycle,3,8.0,50000,50000,44349,5651,3331,7.510879613971003
B,C2,population,strict_herzog,cycle,3,9.0,50000,50000,44349,5651,3205,7.2267694874743515
B,C2,population,strict_herzog,cycle,3,10.0,50000,50000,44349,5651,3114,7.021578840560103
C,C3,population,strict_herzog,cycle,3,0.0,50000,19973,16756,3217,16756,100.0
C,C3,population,strict_herzog,cycle,3,1.0,50000,19973,16756,3217,10413,62.14490331821437
C,C3,population,strict_herzog,cycle,3,1.62,50000,19973,16756,3217,8849,52.81093339699212
C,C3,population,strict_herzog,cycle,3,2.0,50000,19973,16756,3217,8372,49.96419193124851
C,C3,population,strict_herzog,cycle,3,3.0,50000,19973,16756,3217,7776,46.40725710193364
C,C3,population,strict_herzog,cycle,3,4.0,50000,19973,16756,3217,7538,44.98687037479112
C,C3,population,strict_herzog,cycle,3,5.0,50000,19973,16756,3217,7404,44.18715683934113
C,C3,population,strict_herzog,cycle,3,6.0,50000,19973,16756,3217,7332,43.75746001432323
C,C3,population,strict_herzog,cycle,3,7.0,50000,19973,16756,3217,7285,43.47696347576987
C,C3,population,strict_herzog,cycle,3,8.0,50000,19973,16756,3217,7249,43.26211506326092
C,C3,population,strict_herzog,cycle,3,9.0,50000,19973,16756,3217,7228,43.1367868226307
C,C3,population,strict_herzog,cycle,3,10.0,50000,19973,16756,3217,7212,43.04129863929339
