cohort,window_type,window_value,n_attempted,n_applicable,n_classifiable,positives,false_positive_rate_classifiable,wilson95_low,wilson95_high,positive_rate_all_attempted,indeterminate_reasons
population,calendar,1,50000,16475,7719,4506,0.5837543723280217,0.5727187918138895,0.5947066314444361,0.09012,"{""missing_comparator_phase"": 3019, ""missing_numerator_phase"": 615, ""undefined_zero_over_zero"": 5122}"
population,calendar,12,50000,32120,27655,12143,0.4390887723738926,0.43324859357113765,0.44494587075536474,0.24286,"{""missing_comparator_phase"": 623, ""undefined_zero_over_zero"": 3842}"
population,calendar,18,50000,35897,31473,13060,0.4149588536205637,0.4095260980537788,0.42041236616592326,0.2612,"{""missing_comparator_phase"": 417, ""undefined_zero_over_zero"": 4007}"
population,calendar,24,50000,38555,34086,13507,0.39626239511823036,0.39108187498039376,0.40146629487417346,0.27014,"{""missing_comparator_phase"": 369, ""undefined_zero_over_zero"": 4100}"
population,calendar,3,50000,22112,16179,8743,0.5403918659991347,0.5327039032611471,0.5480606524150504,0.17486,"{""missing_comparator_phase"": 1757, ""undefined_zero_over_zero"": 4176}"
population,calendar,36,50000,43297,38879,14252,0.36657321433164436,0.3617967955624503,0.37137599709500607,0.28504,"{""missing_comparator_phase"": 30, ""undefined_zero_over_zero"": 4388}"
population,calendar,4,50000,24026,18589,9751,0.524557534025499,0.5173741724155243,0.5317307479928011,0.19502,"{""missing_comparator_phase"": 1341, ""undefined_zero_over_zero"": 4096}"
population,calendar,6,50000,26666,21904,10810,0.4935171658144631,0.48689793960323546,0.5001386655075954,0.2162,"{""missing_comparator_phase"": 952, ""undefined_zero_over_zero"": 3810}"
population,calendar,9,50000,29721,25210,11693,0.46382387941293135,0.45767395188297594,0.469984830180084,0.23386,"{""missing_comparator_phase"": 752, ""undefined_zero_over_zero"": 3759}"
population,cycle,12,50000,31068,27571,11795,0.42780457727322185,0.42197498069863815,0.43365428897658054,0.2359,"{""undefined_zero_over_zero"": 3497}"
population,cycle,3,50000,19973,16756,8849,0.5281093339699212,0.5205450821590245,0.5356607001160951,0.17698,"{""missing_numerator_phase"": 2, ""undefined_zero_over_zero"": 3215}"
population,cycle,6,50000,25364,22026,10610,0.4817034413874512,0.475108492357838,0.48830477135054523,0.2122,"{""undefined_zero_over_zero"": 3338}"
population,full,full_diary,50000,43297,38879,14252,0.36657321433164436,0.3617967955624503,0.37137599709500607,0.28504,"{""missing_comparator_phase"": 30, ""undefined_zero_over_zero"": 4388}"
