min_seizure_days,cohort,window_type,window_value,n_attempted,n_meeting_minimum,n_classifiable,positives,false_positive_rate_classifiable,wilson95_low,wilson95_high,positive_rate_all_attempted
2,healthy_ovulatory,calendar,1,50000,0,0,0,,,,0.0
2,healthy_ovulatory,calendar,3,50000,0,0,0,,,,0.0
2,healthy_ovulatory,calendar,4,50000,43188,43188,16422,0.3802445123645457,0.37567701275941323,0.3848333139451794,0.32844
2,healthy_ovulatory,calendar,6,50000,45261,45261,15032,0.3321181591215395,0.3277936423142915,0.3364711709442429,0.30064
2,healthy_ovulatory,calendar,9,50000,46776,46776,13281,0.2839276552077989,0.27985933509936256,0.28803146209810226,0.26562
2,healthy_ovulatory,calendar,12,50000,47522,47522,11822,0.2487689912040739,0.24490266086084003,0.2526759349712955,0.23644
2,healthy_ovulatory,calendar,18,50000,48306,48306,9261,0.19171531486771828,0.18822947042176122,0.19525018712611383,0.18522
2,healthy_ovulatory,calendar,24,50000,48778,48778,7588,0.1555619336586166,0.15237265771954564,0.15880545702289992,0.15176
2,healthy_ovulatory,calendar,36,50000,49193,49193,5450,0.11078812026101274,0.10804484134520946,0.11359218118493718,0.109
2,healthy_ovulatory,full,full_diary,50000,49193,49193,5450,0.11078812026101274,0.10804484134520946,0.11359218118493718,0.109
2,healthy_ovulatory,cycle,3,50000,0,0,0,,,,0.0
2,healthy_ovulatory,cycle,6,50000,45120,45120,15093,0.33450797872340426,0.3301687331888506,0.33887540141505873,0.30186
2,healthy_ovulatory,cycle,12,50000,47424,47424,11886,0.2506325910931174,0.24675244037875177,0.2545531372631088,0.23772
2,population,calendar,1,50000,0,0,0,,,,0.0
2,population,calendar,3,50000,0,0,0,,,,0.0
2,population,calendar,4,50000,43102,43102,16494,0.38267365783490326,0.3780958026327697,0.387272424556068,0.32988
2,population,calendar,6,50000,45198,45198,15259,0.33760343378025576,0.3332577552054433,0.341976714758051,0.30518
2,population,calendar,9,50000,46756,46756,13437,0.2873855761827359,0.28330123533208473,0.29150485083676614,0.26874
2,population,calendar,12,50000,47510,47510,12010,0.25278888655019993,0.2489009652245659,0.2567167815459553,0.2402
2,population,calendar,18,50000,48294,48294,9492,0.19654615480183873,0.19302618178403938,0.20011439935373157,0.18984
2,population,calendar,24,50000,48769,48769,7683,0.15753860034038017,0.15433229816659821,0.16079884857615573,0.15366
2,population,calendar,36,50000,49168,49168,5578,0.11344777090790759,0.11067469781883998,0.116281241347412,0.11156
2,population,full,full_diary,50000,49168,49168,5578,0.11344777090790759,0.11067469781883998,0.116281241347412,0.11156
2,population,cycle,3,50000,0,0,0,,,,0.0
2,population,cycle,6,50000,45331,45331,14960,0.33001698616840575,0.32570291896261705,0.33435986047826005,0.2992
2,population,cycle,12,50000,47543,47543,11604,0.24407378583598005,0.24023351667608567,0.2479554091629519,0.23208
3,healthy_ovulatory,calendar,1,50000,0,0,0,,,,0.0
3,healthy_ovulatory,calendar,3,50000,0,0,0,,,,0.0
3,healthy_ovulatory,calendar,4,50000,40269,40269,14758,0.3664853857806253,0.3617921399115196,0.3712041024570496,0.29516
3,healthy_ovulatory,calendar,6,50000,43129,43129,13853,0.32119919311831946,0.31680850047536363,0.32562173415862233,0.27706
3,healthy_ovulatory,calendar,9,50000,45273,45273,12426,0.2744682260950235,0.27037691464442676,0.27859780748646873,0.24852
3,healthy_ovulatory,calendar,12,50000,46362,46362,11145,0.24039083732367025,0.23652270350270244,0.24430198892999544,0.2229
3,healthy_ovulatory,calendar,18,50000,47490,47490,8815,0.18561802484733628,0.18214669914164797,0.18914020705881232,0.1763
3,healthy_ovulatory,calendar,24,50000,48165,48165,7241,0.15033738191632928,0.14717344804556012,0.15355708688342642,0.14482
