cohort,feature,level,outcome,n_group,n_classifiable,positives,rate,wilson95_low,wilson95_high,interpretation_scope
healthy_ovulatory,age,"(17.999, 23.4]",label_A_windowed_any,10105,10027,1115,0.11119976064625511,0.10519461382310934,0.11750270105233902,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(17.999, 23.4]",label_A_windowed_C1_or_C2,10105,10027,1115,0.11119976064625511,0.10519461382310934,0.11750270105233902,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(23.4, 28.8]",label_A_windowed_any,9903,9827,1159,0.11794036837285031,0.11171213813181444,0.12446718268689619,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(23.4, 28.8]",label_A_windowed_C1_or_C2,9903,9827,1159,0.11794036837285031,0.11171213813181444,0.12446718268689619,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(28.8, 34.2]",label_A_windowed_any,10007,9925,1102,0.11103274559193954,0.1050017068778121,0.1173647663887408,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(28.8, 34.2]",label_A_windowed_C1_or_C2,10007,9925,1102,0.11103274559193954,0.1050017068778121,0.1173647663887408,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(34.2, 39.6]",label_A_windowed_any,10024,9945,1154,0.11603821015585722,0.10989141037741595,0.12248152152522318,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(34.2, 39.6]",label_A_windowed_C1_or_C2,10024,9945,1154,0.11603821015585722,0.10989141037741595,0.12248152152522318,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(39.6, 45.0]",label_A_windowed_any,9961,9881,1135,0.11486691630401781,0.10872894119370212,0.12130423316658485,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(39.6, 45.0]",label_A_windowed_C1_or_C2,9961,9881,1135,0.11486691630401781,0.10872894119370212,0.12130423316658485,Association between simulator inputs/realizations and simulated classification
