panel,pattern,cohort,phase_mode,window_type,window_value,threshold,n_attempted,n_applicable,n_defined,n_undefined,n_at_or_above,pct_defined_at_or_above
A,C1,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,43538,6462,43538,100.0
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,43538,6462,19501,44.790757499196104
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.69,50000,50000,43538,6462,11796,27.093573430107032
A,C1,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,43538,6462,10633,24.422343699756535
A,C1,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,43538,6462,6010,13.804033258303091
A,C1,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,43538,6462,4655,10.691809453810464
A,C1,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,43538,6462,3468,7.9654554641922
A,C1,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,43538,6462,3201,7.352198079838302
A,C1,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,43538,6462,2978,6.840001837475309
A,C1,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,43538,6462,2581,5.9281547154210115
A,C1,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,43538,6462,2501,5.744407184528458
A,C1,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,43538,6462,2359,5.418255317194175
A,C1,population,strict_herzog,cycle,3,0.0,50000,50000,43532,6468,43532,100.0
A,C1,population,strict_herzog,cycle,3,1.0,50000,50000,43532,6468,19620,45.07029311770651
A,C1,population,strict_herzog,cycle,3,1.69,50000,50000,43532,6468,11878,27.28567490581641
A,C1,population,strict_herzog,cycle,3,2.0,50000,50000,43532,6468,10711,24.604888357989523
A,C1,population,strict_herzog,cycle,3,3.0,50000,50000,43532,6468,5986,13.750804006248277
A,C1,population,strict_herzog,cycle,3,4.0,50000,50000,43532,6468,4615,10.601396673711292
A,C1,population,strict_herzog,cycle,3,5.0,50000,50000,43532,6468,3341,7.674813929982542
A,C1,population,strict_herzog,cycle,3,6.0,50000,50000,43532,6468,3080,7.07525498483874
A,C1,population,strict_herzog,cycle,3,7.0,50000,50000,43532,6468,2875,6.604337039419278
A,C1,population,strict_herzog,cycle,3,8.0,50000,50000,43532,6468,2482,5.70155288063953
A,C1,population,strict_herzog,cycle,3,9.0,50000,50000,43532,6468,2401,5.515482863181108
A,C1,population,strict_herzog,cycle,3,10.0,50000,50000,43532,6468,2242,5.150234310392355
B,C2,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,43892,6108,43892,100.0
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,43892,6108,20237,46.10635195479814
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.83,50000,50000,43892,6108,11225,25.57413651690513
B,C2,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,43892,6108,10128,23.07482001275859
B,C2,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,43892,6108,6528,14.87286977125672
B,C2,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,43892,6108,4792,10.917707099243598
B,C2,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,43892,6108,3933,8.960630638840792
B,C2,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,43892,6108,3489,7.9490567757222275
B,C2,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,43892,6108,3136,7.144809988152739
B,C2,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,43892,6108,2947,6.71420760047389
B,C2,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,43892,6108,2829,6.445365898113551
B,C2,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,43892,6108,2713,6.181080834776269
B,C2,population,strict_herzog,cycle,3,0.0,50000,50000,44292,5708,44292,100.0
B,C2,population,strict_herzog,cycle,3,1.0,50000,50000,44292,5708,20599,46.50726993588007
B,C2,population,strict_herzog,cycle,3,1.83,50000,50000,44292,5708,11404,25.74731328456606
B,C2,population,strict_herzog,cycle,3,2.0,50000,50000,44292,5708,10364,23.399259459947622
B,C2,population,strict_herzog,cycle,3,3.0,50000,50000,44292,5708,6695,15.115596495981215
B,C2,population,strict_herzog,cycle,3,4.0,50000,50000,44292,5708,5061,11.426442698455704
B,C2,population,strict_herzog,cycle,3,5.0,50000,50000,44292,5708,4201,9.484782805021222
B,C2,population,strict_herzog,cycle,3,6.0,50000,50000,44292,5708,3741,8.44622053643999
B,C2,population,strict_herzog,cycle,3,7.0,50000,50000,44292,5708,3430,7.74406213311659
B,C2,population,strict_herzog,cycle,3,8.0,50000,50000,44292,5708,3243,7.321863993497697
B,C2,population,strict_herzog,cycle,3,9.0,50000,50000,44292,5708,3149,7.109636051657184
B,C2,population,strict_herzog,cycle,3,10.0,50000,50000,44292,5708,3048,6.881603901381739
C,C3,population,strict_herzog,cycle,3,0.0,50000,19973,16743,3230,16743,100.0
C,C3,population,strict_herzog,cycle,3,1.0,50000,19973,16743,3230,10414,62.19912799378845
C,C3,population,strict_herzog,cycle,3,1.62,50000,19973,16743,3230,8873,52.99528161022517
C,C3,population,strict_herzog,cycle,3,2.0,50000,19973,16743,3230,8424,50.31356387744132
C,C3,population,strict_herzog,cycle,3,3.0,50000,19973,16743,3230,7806,46.62246909156065
C,C3,population,strict_herzog,cycle,3,4.0,50000,19973,16743,3230,7544,45.057636026996356
C,C3,population,strict_herzog,cycle,3,5.0,50000,19973,16743,3230,7420,44.317028011706384
C,C3,population,strict_herzog,cycle,3,6.0,50000,19973,16743,3230,7372,44.03034103804575
C,C3,population,strict_herzog,cycle,3,7.0,50000,19973,16743,3230,7323,43.73768141910052
C,C3,population,strict_herzog,cycle,3,8.0,50000,19973,16743,3230,7285,43.510720898285854
C,C3,population,strict_herzog,cycle,3,9.0,50000,19973,16743,3230,7261,43.367377411455536
C,C3,population,strict_herzog,cycle,3,10.0,50000,19973,16743,3230,7244,43.265842441617394
