cohort,window_type,window_value,n_attempted,n_applicable,n_classifiable,positives,false_positive_rate_classifiable,wilson95_low,wilson95_high,positive_rate_all_attempted,indeterminate_reasons
population,calendar,1,50000,16475,7762,4539,0.5847719659881474,0.5737704600597002,0.5956896051474314,0.09078,"{""missing_comparator_phase"": 2931, ""missing_numerator_phase"": 628, ""undefined_zero_over_zero"": 5154}"
population,calendar,12,50000,32120,27672,12246,0.4425411968777103,0.4366974821519112,0.44840086238328325,0.24492,"{""missing_comparator_phase"": 621, ""undefined_zero_over_zero"": 3827}"
population,calendar,18,50000,35897,31484,13126,0.4169101765976369,0.4114744545965543,0.42236617221038875,0.26252,"{""missing_comparator_phase"": 416, ""undefined_zero_over_zero"": 3997}"
population,calendar,24,50000,38555,34095,13463,0.39486728259275555,0.38969076408385894,0.40006748888618393,0.26926,"{""missing_comparator_phase"": 369, ""undefined_zero_over_zero"": 4091}"
population,calendar,3,50000,22112,16288,8913,0.5472126719056974,0.5395581029891326,0.5548449762384337,0.17826,"{""missing_comparator_phase"": 1775, ""undefined_zero_over_zero"": 4049}"
population,calendar,36,50000,43297,38989,14425,0.36997614711841803,0.36519689323488375,0.37478102012884157,0.2885,"{""missing_comparator_phase"": 30, ""undefined_zero_over_zero"": 4278}"
population,calendar,4,50000,24026,18645,9844,0.5279699651381067,0.5207992773157025,0.5351291299423618,0.19688,"{""missing_comparator_phase"": 1325, ""undefined_zero_over_zero"": 4056}"
population,calendar,6,50000,26666,21825,10806,0.49512027491408933,0.4884885601415538,0.5017537071632954,0.21612,"{""missing_comparator_phase"": 960, ""undefined_zero_over_zero"": 3881}"
population,calendar,9,50000,29721,25184,11710,0.4649777636594663,0.45882347269315404,0.4711427372782744,0.2342,"{""missing_comparator_phase"": 760, ""undefined_zero_over_zero"": 3777}"
population,cycle,12,50000,31068,27510,11951,0.43442384587422755,0.4285759994618317,0.4402900036588155,0.23902,"{""undefined_zero_over_zero"": 3558}"
population,cycle,3,50000,19973,16743,8873,0.5299528161022516,0.5223868270408504,0.5375050637653237,0.17746,"{""missing_numerator_phase"": 2, ""undefined_zero_over_zero"": 3228}"
population,cycle,6,50000,25364,22007,10567,0.4801654019175717,0.47356865209719884,0.4867690750345301,0.21134,"{""undefined_zero_over_zero"": 3357}"
population,full,full_diary,50000,43297,38989,14425,0.36997614711841803,0.36519689323488375,0.37478102012884157,0.2885,"{""missing_comparator_phase"": 30, ""undefined_zero_over_zero"": 4278}"
