min_seizure_days,cohort,window_type,window_value,n_attempted,n_meeting_minimum,n_classifiable,positives,false_positive_rate_classifiable,wilson95_low,wilson95_high,positive_rate_all_attempted
2,healthy_ovulatory,calendar,1,50000,0,0,0,,,,0.0
2,healthy_ovulatory,calendar,3,50000,0,0,0,,,,0.0
2,healthy_ovulatory,calendar,4,50000,43243,43243,16410,0.37948338459403835,0.37492062660338943,0.38406755268538706,0.3282
2,healthy_ovulatory,calendar,6,50000,45283,45283,15138,0.334297639290683,0.3299668823838288,0.33865650762128213,0.30276
2,healthy_ovulatory,calendar,9,50000,46744,46744,13410,0.2868817388327914,0.2827990661488124,0.2909994370922265,0.2682
2,healthy_ovulatory,calendar,12,50000,47517,47517,11884,0.2500999642233306,0.24622639474382077,0.2540139362153911,0.23768
2,healthy_ovulatory,calendar,18,50000,48358,48358,9458,0.195582943876918,0.19207193258246769,0.1991423158437554,0.18916
2,healthy_ovulatory,calendar,24,50000,48755,48755,7595,0.15577889447236182,0.15258702685804407,0.15902500091445057,0.1519
2,healthy_ovulatory,calendar,36,50000,49193,49193,5380,0.10936515357876121,0.10663764867488869,0.11215366271103373,0.1076
2,healthy_ovulatory,full,full_diary,50000,49193,49193,5380,0.10936515357876121,0.10663764867488869,0.11215366271103373,0.1076
2,healthy_ovulatory,cycle,3,50000,0,0,0,,,,0.0
2,healthy_ovulatory,cycle,6,50000,45072,45072,15092,0.33484203052893147,0.3304993739084118,0.33921283737440977,0.30184
2,healthy_ovulatory,cycle,12,50000,47406,47406,11832,0.24958865966333377,0.24571328244564414,0.25350461684596476,0.23664
2,population,calendar,1,50000,0,0,0,,,,0.0
2,population,calendar,3,50000,0,0,0,,,,0.0
2,population,calendar,4,50000,43206,43206,16637,0.38506225987131415,0.38048431464056315,0.3896606415850859,0.33274
2,population,calendar,6,50000,45262,45262,15404,0.3403296363395343,0.33597824689242145,0.34470812644829935,0.30808
2,population,calendar,9,50000,46743,46743,13419,0.2870804184583788,0.2829968379064071,0.29119899268175525,0.26838
2,population,calendar,12,50000,47480,47480,12083,0.254486099410278,0.2505881760680938,0.2584237470675155,0.24166
2,population,calendar,18,50000,48329,48329,9538,0.1973556249870678,0.19383135514227262,0.20092800273815753,0.19076
2,population,calendar,24,50000,48727,48727,7798,0.1600344778049131,0.1568059222897852,0.16331663237619812,0.15596
2,population,calendar,36,50000,49168,49168,5623,0.11436300032541491,0.11158002596195993,0.11720622903810868,0.11246
2,population,full,full_diary,50000,49168,49168,5623,0.11436300032541491,0.11158002596195993,0.11720622903810868,0.11246
2,population,cycle,3,50000,0,0,0,,,,0.0
2,population,cycle,6,50000,45299,45299,15063,0.33252389677476324,0.3281998238255909,0.3368763720286597,0.30126
2,population,cycle,12,50000,47526,47526,11703,0.24624416109077138,0.24239147560549149,0.2501378647059571,0.23406
3,healthy_ovulatory,calendar,1,50000,0,0,0,,,,0.0
3,healthy_ovulatory,calendar,3,50000,0,0,0,,,,0.0
3,healthy_ovulatory,calendar,4,50000,40403,40403,14847,0.36747271242234486,0.36278448352532033,0.3721861399292814,0.29694
3,healthy_ovulatory,calendar,6,50000,43154,43154,13952,0.3233072252861844,0.3189100487610921,0.3277358564899646,0.27904
3,healthy_ovulatory,calendar,9,50000,45264,45264,12576,0.27783669141039236,0.2737291546448702,0.28198193402509636,0.25152
3,healthy_ovulatory,calendar,12,50000,46346,46346,11215,0.2419842057566996,0.23810650114689472,0.2459046788859849,0.2243
3,healthy_ovulatory,calendar,18,50000,47532,47532,8987,0.18907262475805772,0.18557766054223862,0.19261784220056066,0.17974
3,healthy_ovulatory,calendar,24,50000,48142,48142,7262,0.1508454156453824,0.14767625932881878,0.15407028863101707,0.14524
