panel,pattern,cohort,phase_mode,window_type,window_value,threshold,n_attempted,n_applicable,n_defined,n_undefined,n_at_or_above,pct_defined_at_or_above
A,C1,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,43545,6455,43545,100.0
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,43545,6455,19611,45.03616947984843
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.69,50000,50000,43545,6455,11847,27.206338270754394
A,C1,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,43545,6455,10740,24.664140544264555
A,C1,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,43545,6455,6005,13.790331840624642
A,C1,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,43545,6455,4585,10.529337466988173
A,C1,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,43545,6455,3360,7.716155700998967
A,C1,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,43545,6455,3085,7.084625100470777
A,C1,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,43545,6455,2888,6.632219543001493
A,C1,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,43545,6455,2534,5.819267424503387
A,C1,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,43545,6455,2467,5.6654036054656105
A,C1,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,43545,6455,2303,5.288781720059708
A,C1,population,strict_herzog,cycle,3,0.0,50000,50000,43602,6398,43602,100.0
A,C1,population,strict_herzog,cycle,3,1.0,50000,50000,43602,6398,19624,45.00710976560708
A,C1,population,strict_herzog,cycle,3,1.69,50000,50000,43602,6398,11939,27.381771478372553
A,C1,population,strict_herzog,cycle,3,2.0,50000,50000,43602,6398,10778,24.71904958488143
A,C1,population,strict_herzog,cycle,3,3.0,50000,50000,43602,6398,6037,13.84569515159855
A,C1,population,strict_herzog,cycle,3,4.0,50000,50000,43602,6398,4660,10.687583138388147
A,C1,population,strict_herzog,cycle,3,5.0,50000,50000,43602,6398,3396,7.788633548919774
A,C1,population,strict_herzog,cycle,3,6.0,50000,50000,43602,6398,3119,7.153341589835328
A,C1,population,strict_herzog,cycle,3,7.0,50000,50000,43602,6398,2915,6.6854731434337875
A,C1,population,strict_herzog,cycle,3,8.0,50000,50000,43602,6398,2543,5.832301270583918
A,C1,population,strict_herzog,cycle,3,9.0,50000,50000,43602,6398,2466,5.655703866795101
A,C1,population,strict_herzog,cycle,3,10.0,50000,50000,43602,6398,2312,5.302509059217467
B,C2,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,44041,5959,44041,100.0
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,44041,5959,20091,45.618855157693964
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.83,50000,50000,44041,5959,11317,25.696510070161896
B,C2,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,44041,5959,10374,23.55532344860471
B,C2,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,44041,5959,6788,15.412910696850663
B,C2,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,44041,5959,5066,11.502917735746237
B,C2,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,44041,5959,4084,9.273177266637905
B,C2,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,44041,5959,3593,8.15830703208374
B,C2,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,44041,5959,3260,7.402193410685498
B,C2,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,44041,5959,3058,6.943529892600077
B,C2,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,44041,5959,2936,6.666515292568288
B,C2,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,44041,5959,2808,6.375877023682477
B,C2,population,strict_herzog,cycle,3,0.0,50000,50000,44320,5680,44320,100.0
B,C2,population,strict_herzog,cycle,3,1.0,50000,50000,44320,5680,20705,46.71705776173285
B,C2,population,strict_herzog,cycle,3,1.83,50000,50000,44320,5680,11505,25.958935018050543
B,C2,population,strict_herzog,cycle,3,2.0,50000,50000,44320,5680,10498,23.68682310469314
B,C2,population,strict_herzog,cycle,3,3.0,50000,50000,44320,5680,6805,15.354241877256317
B,C2,population,strict_herzog,cycle,3,4.0,50000,50000,44320,5680,5105,11.518501805054152
B,C2,population,strict_herzog,cycle,3,5.0,50000,50000,44320,5680,4232,9.548736462093864
B,C2,population,strict_herzog,cycle,3,6.0,50000,50000,44320,5680,3764,8.492779783393502
B,C2,population,strict_herzog,cycle,3,7.0,50000,50000,44320,5680,3467,7.822653429602888
B,C2,population,strict_herzog,cycle,3,8.0,50000,50000,44320,5680,3254,7.342057761732852
B,C2,population,strict_herzog,cycle,3,9.0,50000,50000,44320,5680,3112,7.021660649819495
B,C2,population,strict_herzog,cycle,3,10.0,50000,50000,44320,5680,3023,6.820848375451264
C,C3,population,strict_herzog,cycle,3,0.0,50000,19986,16716,3270,16716,100.0
C,C3,population,strict_herzog,cycle,3,1.0,50000,19986,16716,3270,10316,61.7133285474994
C,C3,population,strict_herzog,cycle,3,1.62,50000,19986,16716,3270,8789,52.578368030629335
C,C3,population,strict_herzog,cycle,3,2.0,50000,19986,16716,3270,8340,49.89231873653984
C,C3,population,strict_herzog,cycle,3,3.0,50000,19986,16716,3270,7761,46.42857142857143
C,C3,population,strict_herzog,cycle,3,4.0,50000,19986,16716,3270,7500,44.867193108399135
C,C3,population,strict_herzog,cycle,3,5.0,50000,19986,16716,3270,7372,44.10145967934913
C,C3,population,strict_herzog,cycle,3,6.0,50000,19986,16716,3270,7316,43.76645130413975
C,C3,population,strict_herzog,cycle,3,7.0,50000,19986,16716,3270,7271,43.49724814548935
C,C3,population,strict_herzog,cycle,3,8.0,50000,19986,16716,3270,7241,43.31777937305576
C,C3,population,strict_herzog,cycle,3,9.0,50000,19986,16716,3270,7213,43.150275185451065
C,C3,population,strict_herzog,cycle,3,10.0,50000,19986,16716,3270,7200,43.07250538406317
