cohort,window_type,window_value,n_attempted,n_applicable,n_classifiable,positives,false_positive_rate_classifiable,wilson95_low,wilson95_high,positive_rate_all_attempted,indeterminate_reasons
population,calendar,1,50000,16331,7706,4430,0.5748767194393979,0.5638044037709571,0.5858744198681112,0.0886,"{""missing_comparator_phase"": 2959, ""missing_numerator_phase"": 631, ""undefined_zero_over_zero"": 5035}"
population,calendar,12,50000,32096,27703,12238,0.44175721041042487,0.43591794513225207,0.4476126260158116,0.24476,"{""missing_comparator_phase"": 582, ""undefined_zero_over_zero"": 3811}"
population,calendar,18,50000,35912,31458,13118,0.41700044503782824,0.4115623026470752,0.42245885575095127,0.26236,"{""missing_comparator_phase"": 425, ""undefined_zero_over_zero"": 4029}"
population,calendar,24,50000,38560,33999,13438,0.3952469190270302,0.3900622059446785,0.4004553009929008,0.26876,"{""missing_comparator_phase"": 360, ""undefined_zero_over_zero"": 4201}"
population,calendar,3,50000,22162,16194,8737,0.5395208101766086,0.5318355438516974,0.5471873310945791,0.17474,"{""missing_comparator_phase"": 1772, ""undefined_zero_over_zero"": 4196}"
population,calendar,36,50000,43443,38783,14364,0.37036846040791066,0.36557547728721046,0.37518712101110113,0.28728,"{""missing_comparator_phase"": 296, ""undefined_zero_over_zero"": 4364}"
population,calendar,4,50000,24027,18574,9757,0.5253041886508022,0.5181183071191875,0.5324796055653183,0.19514,"{""missing_comparator_phase"": 1378, ""undefined_zero_over_zero"": 4075}"
population,calendar,6,50000,26685,21860,10700,0.48947849954254347,0.4828542372402638,0.49610645908264084,0.214,"{""missing_comparator_phase"": 996, ""undefined_zero_over_zero"": 3829}"
population,calendar,9,50000,29699,25178,11630,0.46191119231074745,0.45575941277392457,0.46807459264873424,0.2326,"{""missing_comparator_phase"": 767, ""undefined_zero_over_zero"": 3754}"
population,cycle,12,50000,31090,27560,11903,0.4318940493468795,0.42605588156713775,0.43775120041712295,0.23806,"{""undefined_zero_over_zero"": 3530}"
population,cycle,3,50000,19986,16716,8789,0.5257836803062934,0.5182090101385293,0.5333465026408843,0.17578,"{""missing_numerator_phase"": 1, ""undefined_zero_over_zero"": 3269}"
population,cycle,6,50000,25277,21952,10472,0.4770408163265306,0.47043813016284636,0.48365153650328646,0.20944,"{""undefined_zero_over_zero"": 3325}"
population,full,full_diary,50000,43443,38783,14364,0.37036846040791066,0.36557547728721046,0.37518712101110113,0.28728,"{""missing_comparator_phase"": 296, ""undefined_zero_over_zero"": 4364}"
