min_seizure_days,cohort,window_type,window_value,n_attempted,n_meeting_minimum,n_classifiable,positives,false_positive_rate_classifiable,wilson95_low,wilson95_high,positive_rate_all_attempted
2,healthy_ovulatory,calendar,1,50000,0,0,0,,,,0.0
2,healthy_ovulatory,calendar,3,50000,0,0,0,,,,0.0
2,healthy_ovulatory,calendar,4,50000,43188,43188,16547,0.3831388348615356,0.3785644310334462,0.3877340258261978,0.33094
2,healthy_ovulatory,calendar,6,50000,45261,45261,15140,0.334504319391971,0.33017182778342813,0.33886490100686617,0.3028
2,healthy_ovulatory,calendar,9,50000,46776,46776,13549,0.2896570891055242,0.2855638240888194,0.293784899926799,0.27098
2,healthy_ovulatory,calendar,12,50000,47522,47522,11846,0.2492740204536846,0.245405014395638,0.2531835582938582,0.23692
2,healthy_ovulatory,calendar,18,50000,48306,48306,9340,0.193350722477539,0.18985337705168884,0.19689683563006463,0.1868
2,healthy_ovulatory,calendar,24,50000,48778,48778,7581,0.15541842633974332,0.15223037227508643,0.1586607504313611,0.15162
2,healthy_ovulatory,calendar,36,50000,49193,49193,5585,0.11353241314821215,0.11075911926565972,0.11636606047120517,0.1117
2,healthy_ovulatory,full,full_diary,50000,49193,49193,5585,0.11353241314821215,0.11075911926565972,0.11636606047120517,0.1117
2,healthy_ovulatory,cycle,3,50000,0,0,0,,,,0.0
2,healthy_ovulatory,cycle,6,50000,45099,45099,15151,0.3359497993303621,0.33160478019137196,0.34032276314290344,0.30302
2,healthy_ovulatory,cycle,12,50000,47426,47426,11769,0.24815502045291613,0.2442880655421984,0.2520627704448895,0.23538
2,population,calendar,1,50000,0,0,0,,,,0.0
2,population,calendar,3,50000,0,0,0,,,,0.0
2,population,calendar,4,50000,43102,43102,16482,0.38239524848034895,0.37781805326346185,0.38699340483822253,0.32964
2,population,calendar,6,50000,45198,45198,15214,0.3366078145050666,0.3322653830052478,0.3409780176324096,0.30428
2,population,calendar,9,50000,46756,46756,13435,0.2873428009239456,0.2832586457465066,0.29146189693299085,0.2687
2,population,calendar,12,50000,47510,47510,11922,0.25093664491685963,0.247058392872115,0.2548551701364485,0.23844
2,population,calendar,18,50000,48294,48294,9337,0.1933366463742908,0.18983896809964618,0.19688310673149595,0.18674
2,population,calendar,24,50000,48769,48769,7674,0.15735405688039533,0.15414930942345217,0.16061277946944902,0.15348
2,population,calendar,36,50000,49168,49168,5581,0.11350878620240808,0.11073505123025058,0.11634290899158918,0.11162
2,population,full,full_diary,50000,49168,49168,5581,0.11350878620240808,0.11073505123025058,0.11634290899158918,0.11162
2,population,cycle,3,50000,0,0,0,,,,0.0
2,population,cycle,6,50000,45354,45354,14960,0.3298496273757552,0.3255372216592173,0.33419085393688086,0.2992
2,population,cycle,12,50000,47561,47561,11629,0.2445070540989466,0.24066515570411948,0.24839022102744504,0.23258
3,healthy_ovulatory,calendar,1,50000,0,0,0,,,,0.0
3,healthy_ovulatory,calendar,3,50000,0,0,0,,,,0.0
3,healthy_ovulatory,calendar,4,50000,40269,40269,14934,0.3708559934440885,0.3661507119155119,0.3755859119918152,0.29868
3,healthy_ovulatory,calendar,6,50000,43129,43129,13931,0.3230077210229776,0.3186103702513156,0.32743659805297437,0.27862
3,healthy_ovulatory,calendar,9,50000,45273,45273,12699,0.2804983102511431,0.2763788861992454,0.28465498101350367,0.25398
3,healthy_ovulatory,calendar,12,50000,46362,46362,11181,0.24116733531771709,0.2372948524318969,0.24508270732154064,0.22362
3,healthy_ovulatory,calendar,18,50000,47490,47490,8856,0.18648136449778902,0.18300370552850395,0.19000974031333487,0.17712
3,healthy_ovulatory,calendar,24,50000,48165,48165,7229,0.15008823834734766,0.1469265023504539,0.15330578517890364,0.14458
