cohort,feature,level,outcome,n_group,n_classifiable,positives,rate,wilson95_low,wilson95_high,interpretation_scope
healthy_ovulatory,age,"(17.999, 23.4]",label_A_windowed_any,10105,10027,1182,0.11788171935773412,0.111715827563476,0.12434028682546341,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(17.999, 23.4]",label_A_windowed_C1_or_C2,10105,10027,1182,0.11788171935773412,0.111715827563476,0.12434028682546341,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(23.4, 28.8]",label_A_windowed_any,9903,9827,1179,0.11997557749058715,0.11369923059644824,0.12654891791799439,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(23.4, 28.8]",label_A_windowed_C1_or_C2,9903,9827,1179,0.11997557749058715,0.11369923059644824,0.12654891791799439,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(28.8, 34.2]",label_A_windowed_any,10007,9925,1116,0.1124433249370277,0.10637756950692032,0.11880897094633594,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(28.8, 34.2]",label_A_windowed_C1_or_C2,10007,9925,1116,0.1124433249370277,0.10637756950692032,0.11880897094633594,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(34.2, 39.6]",label_A_windowed_any,10024,9945,1117,0.11231774761186526,0.10626102007104843,0.11867385984269391,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(34.2, 39.6]",label_A_windowed_C1_or_C2,10024,9945,1117,0.11231774761186526,0.10626102007104843,0.11867385984269391,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(39.6, 45.0]",label_A_windowed_any,9961,9881,1188,0.12023074587592349,0.11396519654145501,0.1267914679670135,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(39.6, 45.0]",label_A_windowed_C1_or_C2,9961,9881,1188,0.12023074587592349,0.11396519654145501,0.1267914679670135,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(-0.001, 0.75]",label_A_windowed_any,10252,9857,3243,0.32900476818504615,0.3197974671027745,0.33834529748000036,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(-0.001, 0.75]",label_A_windowed_C1_or_C2,10252,9857,3243,0.32900476818504615,0.3197974671027745,0.33834529748000036,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(0.75, 1.722]",label_A_windowed_any,9862,9862,1269,0.12867572500506996,0.1222114984315245,0.13542911635335278,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(0.75, 1.722]",label_A_windowed_C1_or_C2,9862,9862,1269,0.12867572500506996,0.1222114984315245,0.13542911635335278,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(1.722, 3.083]",label_A_windowed_any,9955,9955,491,0.04932194876946258,0.0452393843180698,0.05375219646942428,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(1.722, 3.083]",label_A_windowed_C1_or_C2,9955,9955,491,0.04932194876946258,0.0452393843180698,0.05375219646942428,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(3.083, 4.0]",label_A_windowed_any,10108,10108,525,0.05193905817174515,0.04778080735355705,0.05643774305710174,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(3.083, 4.0]",label_A_windowed_C1_or_C2,10108,10108,525,0.05193905817174515,0.04778080735355705,0.05643774305710174,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(4.0, 7.583]",label_A_windowed_any,9823,9823,254,0.025857680952865725,0.022899603154331694,0.02918645735306145,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(4.0, 7.583]",label_A_windowed_C1_or_C2,9823,9823,254,0.025857680952865725,0.022899603154331694,0.02918645735306145,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(-0.001, 0.806]",label_A_windowed_any,10033,9638,3191,0.3310852874040257,0.3217589316561073,0.3405462396220102,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(-0.001, 0.806]",label_A_windowed_C1_or_C2,10033,9638,3191,0.3310852874040257,0.3217589316561073,0.3405462396220102,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(0.806, 2.0]",label_A_windowed_any,10075,10075,1307,0.12972704714640199,0.12330692797017982,0.13642941866414882,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(0.806, 2.0]",label_A_windowed_C1_or_C2,10075,10075,1307,0.12972704714640199,0.12330692797017982,0.13642941866414882,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(2.0, 4.028]",label_A_windowed_any,9945,9945,450,0.04524886877828054,0.04133644949728288,0.04951246618418509,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(2.0, 4.028]",label_A_windowed_C1_or_C2,9945,9945,450,0.04524886877828054,0.04133644949728288,0.04951246618418509,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(4.028, 8.694]",label_A_windowed_any,9969,9969,105,0.010532651218778213,0.008708751797305786,0.012733628461487704,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(4.028, 8.694]",label_A_windowed_C1_or_C2,9969,9969,105,0.010532651218778213,0.008708751797305786,0.012733628461487704,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(8.694, 263.444]",label_A_windowed_any,9978,9978,729,0.07306073361395068,0.06811722321966569,0.07833285463935526,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(8.694, 263.444]",label_A_windowed_C1_or_C2,9978,9978,729,0.07306073361395068,0.06811722321966569,0.07833285463935526,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(22.019, 27.317]",label_A_windowed_any,10036,9947,1152,0.11581381321001306,0.10967298925733779,0.12225126241235001,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(22.019, 27.317]",label_A_windowed_C1_or_C2,10036,9947,1152,0.11581381321001306,0.10967298925733779,0.12225126241235001,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(27.317, 28.579]",label_A_windowed_any,10021,9947,1180,0.11862873228108978,0.11242105186111777,0.12513086458764863,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(27.317, 28.579]",label_A_windowed_C1_or_C2,10021,9947,1180,0.11862873228108978,0.11242105186111777,0.12513086458764863,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(28.579, 29.649]",label_A_windowed_any,10045,9962,1130,0.11343103794418792,0.10735220272286629,0.1198078888935807,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(28.579, 29.649]",label_A_windowed_C1_or_C2,10045,9962,1130,0.11343103794418792,0.10735220272286629,0.1198078888935807,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(29.649, 30.889]",label_A_windowed_any,9936,9867,1134,0.1149285497111584,0.10878483570540019,0.12137198205916346,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(29.649, 30.889]",label_A_windowed_C1_or_C2,9936,9867,1134,0.1149285497111584,0.10878483570540019,0.12137198205916346,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(30.889, 41.286]",label_A_windowed_any,9962,9882,1186,0.12001619105444242,0.11375597341010463,0.12657171834150008,Association between simulator inputs/realizations and simulated classification
