panel,pattern,cohort,phase_mode,window_type,window_value,threshold,n_attempted,n_applicable,n_defined,n_undefined,n_at_or_above,pct_defined_at_or_above
A,C1,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,43522,6478,43522,100.0
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,43522,6478,19560,44.942787555718944
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.69,50000,50000,43522,6478,11804,27.121915353154726
A,C1,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,43522,6478,10715,24.61973254905565
A,C1,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,43522,6478,5979,13.737879693028813
A,C1,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,43522,6478,4568,10.495841183769128
A,C1,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,43522,6478,3352,7.701851936951427
A,C1,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,43522,6478,3079,7.07458296953265
A,C1,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,43522,6478,2879,6.61504526446395
A,C1,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,43522,6478,2523,5.797068149441662
A,C1,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,43522,6478,2458,5.6477183952943335
A,C1,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,43522,6478,2296,5.275492854188686
A,C1,population,strict_herzog,cycle,3,0.0,50000,50000,43607,6393,43607,100.0
A,C1,population,strict_herzog,cycle,3,1.0,50000,50000,43607,6393,19582,44.90563441649277
A,C1,population,strict_herzog,cycle,3,1.69,50000,50000,43607,6393,11928,27.353406563166462
A,C1,population,strict_herzog,cycle,3,2.0,50000,50000,43607,6393,10755,24.66347146100397
A,C1,population,strict_herzog,cycle,3,3.0,50000,50000,43607,6393,6037,13.844107597404086
A,C1,population,strict_herzog,cycle,3,4.0,50000,50000,43607,6393,4645,10.651959547779025
A,C1,population,strict_herzog,cycle,3,5.0,50000,50000,43607,6393,3386,7.764808402320728
A,C1,population,strict_herzog,cycle,3,6.0,50000,50000,43607,6393,3108,7.127296076318022
A,C1,population,strict_herzog,cycle,3,7.0,50000,50000,43607,6393,2903,6.657188066136171
A,C1,population,strict_herzog,cycle,3,8.0,50000,50000,43607,6393,2523,5.785768339945421
A,C1,population,strict_herzog,cycle,3,9.0,50000,50000,43607,6393,2452,5.622950443736097
A,C1,population,strict_herzog,cycle,3,10.0,50000,50000,43607,6393,2301,5.276675763065563
B,C2,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,44033,5967,44033,100.0
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,44033,5967,20132,45.72025526309813
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.83,50000,50000,44033,5967,11380,25.844253173756048
B,C2,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,44033,5967,10446,23.723116753344083
B,C2,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,44033,5967,6809,15.463402448163878
B,C2,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,44033,5967,5068,11.509549655939864
B,C2,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,44033,5967,4076,9.256693843253924
B,C2,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,44033,5967,3594,8.162060272977085
B,C2,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,44033,5967,3265,7.414893375422978
B,C2,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,44033,5967,3065,6.960688574478232
B,C2,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,44033,5967,2940,6.676810573887766
B,C2,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,44033,5967,2814,6.3906615492925765
B,C2,population,strict_herzog,cycle,3,0.0,50000,50000,44332,5668,44332,100.0
B,C2,population,strict_herzog,cycle,3,1.0,50000,50000,44332,5668,20655,46.59162681584409
B,C2,population,strict_herzog,cycle,3,1.83,50000,50000,44332,5668,11453,25.83461156726518
B,C2,population,strict_herzog,cycle,3,2.0,50000,50000,44332,5668,10436,23.54055761075521
B,C2,population,strict_herzog,cycle,3,3.0,50000,50000,44332,5668,6779,15.291437336461247
B,C2,population,strict_herzog,cycle,3,4.0,50000,50000,44332,5668,5085,11.47026978254985
B,C2,population,strict_herzog,cycle,3,5.0,50000,50000,44332,5668,4207,9.489759090498962
B,C2,population,strict_herzog,cycle,3,6.0,50000,50000,44332,5668,3745,8.447622484886763
B,C2,population,strict_herzog,cycle,3,7.0,50000,50000,44332,5668,3449,7.779933231074619
B,C2,population,strict_herzog,cycle,3,8.0,50000,50000,44332,5668,3246,7.322024722548046
B,C2,population,strict_herzog,cycle,3,9.0,50000,50000,44332,5668,3112,7.019759992781738
B,C2,population,strict_herzog,cycle,3,10.0,50000,50000,44332,5668,3020,6.81223495443472
C,C3,population,strict_herzog,cycle,3,0.0,50000,20279,16955,3324,16955,100.0
C,C3,population,strict_herzog,cycle,3,1.0,50000,20279,16955,3324,10422,61.468593335299325
C,C3,population,strict_herzog,cycle,3,1.62,50000,20279,16955,3324,8874,52.338543202595105
C,C3,population,strict_herzog,cycle,3,2.0,50000,20279,16955,3324,8411,49.607785314066646
C,C3,population,strict_herzog,cycle,3,3.0,50000,20279,16955,3324,7808,46.05131229725745
C,C3,population,strict_herzog,cycle,3,4.0,50000,20279,16955,3324,7543,44.48835151872604
C,C3,population,strict_herzog,cycle,3,5.0,50000,20279,16955,3324,7408,43.69212621645532
C,C3,population,strict_herzog,cycle,3,6.0,50000,20279,16955,3324,7352,43.36184016514303
C,C3,population,strict_herzog,cycle,3,7.0,50000,20279,16955,3324,7305,43.084635800648776
