cohort,window_type,window_value,n_attempted,n_applicable,n_classifiable,positives,false_positive_rate_classifiable,wilson95_low,wilson95_high,positive_rate_all_attempted,indeterminate_reasons
population,calendar,1,50000,16725,7947,4578,0.5760664401661004,0.565167202901331,0.5868921742427988,0.09156,"{""missing_comparator_phase"": 3003, ""missing_numerator_phase"": 647, ""undefined_zero_over_zero"": 5128}"
population,calendar,12,50000,32685,28203,12389,0.4392795092720633,0.43349595959637793,0.4450795978619014,0.24778,"{""missing_comparator_phase"": 608, ""undefined_zero_over_zero"": 3874}"
population,calendar,18,50000,36514,31976,13280,0.41531148361270953,0.40992083330841667,0.42072247969943577,0.2656,"{""missing_comparator_phase"": 445, ""undefined_zero_over_zero"": 4093}"
population,calendar,24,50000,39243,34655,13605,0.3925840427066801,0.38745490034386765,0.3977369962506666,0.2721,"{""missing_comparator_phase"": 355, ""undefined_zero_over_zero"": 4233}"
population,calendar,3,50000,22551,16491,8904,0.5399308713843914,0.5323155956266088,0.5475275482610051,0.17808,"{""missing_comparator_phase"": 1794, ""undefined_zero_over_zero"": 4266}"
population,calendar,36,50000,44553,39310,14433,0.3671584838463495,0.3624065922715779,0.3719363360087944,0.28866,"{""missing_comparator_phase"": 952, ""undefined_zero_over_zero"": 4291}"
population,calendar,4,50000,24513,18996,9941,0.5233206990945463,0.516214153548685,0.5304178145085365,0.19882,"{""missing_comparator_phase"": 1397, ""undefined_zero_over_zero"": 4120}"
population,calendar,6,50000,27163,22284,10901,0.48918506551786034,0.4826242304548443,0.4957496286337287,0.21802,"{""missing_comparator_phase"": 1008, ""undefined_zero_over_zero"": 3871}"
population,calendar,9,50000,30215,25610,11796,0.46060132760640377,0.45450304052349966,0.46671143239168833,0.23592,"{""missing_comparator_phase"": 784, ""undefined_zero_over_zero"": 3821}"
population,cycle,12,50000,31675,28078,12070,0.429873922644063,0.42409333776558966,0.4356736933326132,0.2414,"{""undefined_zero_over_zero"": 3597}"
population,cycle,3,50000,20279,16955,8874,0.523385432025951,0.5158631343187563,0.5308971353568317,0.17748,"{""missing_numerator_phase"": 1, ""undefined_zero_over_zero"": 3323}"
population,cycle,6,50000,25729,22325,10660,0.477491601343785,0.47094391587384754,0.4840470315134836,0.2132,"{""undefined_zero_over_zero"": 3404}"
population,full,full_diary,50000,44553,39310,14433,0.3671584838463495,0.3624065922715779,0.3719363360087944,0.28866,"{""missing_comparator_phase"": 952, ""undefined_zero_over_zero"": 4291}"
