min_seizure_days,cohort,window_type,window_value,n_attempted,n_meeting_minimum,n_classifiable,positives,false_positive_rate_classifiable,wilson95_low,wilson95_high,positive_rate_all_attempted
2,healthy_ovulatory,calendar,1,50000,0,0,0,,,,0.0
2,healthy_ovulatory,calendar,3,50000,0,0,0,,,,0.0
2,healthy_ovulatory,calendar,4,50000,43188,43188,16622,0.38487542835972954,0.38029696454789463,0.38947437040478017,0.33244
2,healthy_ovulatory,calendar,6,50000,45261,45261,15174,0.33525551799562536,0.3309205416695276,0.3396184568252097,0.30348
2,healthy_ovulatory,calendar,9,50000,46776,46776,13546,0.28959295365144516,0.28549996343295536,0.293720500207833,0.27092
2,healthy_ovulatory,calendar,12,50000,47522,47522,11843,0.24921089179748326,0.24534221981627663,0.2531201057660495,0.23686
2,healthy_ovulatory,calendar,18,50000,48306,48306,9367,0.19390965925557901,0.1904084053543291,0.19745959199343352,0.18734
2,healthy_ovulatory,calendar,24,50000,48778,48778,7588,0.1555619336586166,0.15237265771954564,0.15880545702289992,0.15176
2,healthy_ovulatory,calendar,36,50000,49193,49193,5602,0.11387799077104466,0.11110095450245432,0.11671532651229356,0.11204
2,healthy_ovulatory,full,full_diary,50000,49193,49193,5602,0.11387799077104466,0.11110095450245432,0.11671532651229356,0.11204
2,healthy_ovulatory,cycle,3,50000,0,0,0,,,,0.0
2,healthy_ovulatory,cycle,6,50000,45101,45101,15142,0.3357353495487905,0.33139113252606484,0.34010754653419834,0.30284
2,healthy_ovulatory,cycle,12,50000,47432,47432,11783,0.24841878900320458,0.24455067315133466,0.25232765205518237,0.23566
2,population,calendar,1,50000,0,0,0,,,,0.0
2,population,calendar,3,50000,0,0,0,,,,0.0
2,population,calendar,4,50000,43102,43102,16491,0.3826040554962647,0.37802636514106813,0.3872026697759813,0.32982
2,population,calendar,6,50000,45198,45198,15218,0.33669631399619454,0.3323535929915838,0.3410667915861481,0.30436
2,population,calendar,9,50000,46756,46756,13418,0.2869792112242279,0.2828966360759554,0.29109678694403807,0.26836
2,population,calendar,12,50000,47510,47510,11865,0.24973689749526415,0.2458649589588121,0.25364930320393775,0.2373
2,population,calendar,18,50000,48294,48294,9353,0.19366795047003768,0.19016795366435424,0.19721667665650444,0.18706
2,population,calendar,24,50000,48769,48769,7659,0.1570464844470873,0.15384433166310285,0.16030266081337718,0.15318
2,population,calendar,36,50000,49168,49168,5584,0.11356980149690855,0.11079540489931816,0.11640457637810933,0.11168
2,population,full,full_diary,50000,49168,49168,5584,0.11356980149690855,0.11079540489931816,0.11640457637810933,0.11168
2,population,cycle,3,50000,0,0,0,,,,0.0
2,population,cycle,6,50000,45350,45350,14942,0.32948180815876515,0.3251704705335116,0.3338220314788603,0.29884
2,population,cycle,12,50000,47561,47561,11630,0.24452807972918988,0.24068606732932704,0.2484113572665562,0.2326
3,healthy_ovulatory,calendar,1,50000,0,0,0,,,,0.0
3,healthy_ovulatory,calendar,3,50000,0,0,0,,,,0.0
3,healthy_ovulatory,calendar,4,50000,40269,40269,15012,0.3727929672949415,0.36808248429235196,0.3775277177969247,0.30024
3,healthy_ovulatory,calendar,6,50000,43129,43129,13952,0.323494632381924,0.31909550194322944,0.3279252023492192,0.27904
3,healthy_ovulatory,calendar,9,50000,45273,45273,12709,0.2807191924546639,0.2765987562817392,0.284876837857085,0.25418
3,healthy_ovulatory,calendar,12,50000,46362,46362,11179,0.24112419654027004,0.23725195480891226,0.2450393345378175,0.22358
3,healthy_ovulatory,calendar,18,50000,47490,47490,8887,0.18713413350178984,0.18365170480151227,0.1906671734521005,0.17774
3,healthy_ovulatory,calendar,24,50000,48165,48165,7237,0.15025433406000208,0.14709113247633585,0.15347331998610772,0.14474
