cohort,feature,level,outcome,n_group,n_classifiable,positives,rate,wilson95_low,wilson95_high,interpretation_scope
healthy_ovulatory,age,"(17.999, 23.4]",label_A_windowed_any,10105,10027,1184,0.11808118081180811,0.11191059313882326,0.12454429138484724,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(17.999, 23.4]",label_A_windowed_C1_or_C2,10105,10027,1184,0.11808118081180811,0.11191059313882326,0.12454429138484724,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(23.4, 28.8]",label_A_windowed_any,9903,9827,1172,0.11926325429937926,0.11300367976670199,0.12582037905423443,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(23.4, 28.8]",label_A_windowed_C1_or_C2,9903,9827,1172,0.11926325429937926,0.11300367976670199,0.12582037905423443,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(28.8, 34.2]",label_A_windowed_any,10007,9925,1115,0.11234256926952141,0.10627928326513808,0.11870582381763936,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(28.8, 34.2]",label_A_windowed_C1_or_C2,10007,9925,1115,0.11234256926952141,0.10627928326513808,0.11870582381763936,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(34.2, 39.6]",label_A_windowed_any,10024,9945,1124,0.11302161890397185,0.10694768800111064,0.11939439093755812,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(34.2, 39.6]",label_A_windowed_C1_or_C2,10024,9945,1124,0.11302161890397185,0.10694768800111064,0.11939439093755812,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(39.6, 45.0]",label_A_windowed_any,9961,9881,1201,0.12154640218601356,0.11525019920702191,0.128136755337793,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(39.6, 45.0]",label_A_windowed_C1_or_C2,9961,9881,1201,0.12154640218601356,0.11525019920702191,0.128136755337793,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(-0.001, 0.75]",label_A_windowed_any,10252,9857,3235,0.3281931622197423,0.31899202044004626,0.3375281645619883,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(-0.001, 0.75]",label_A_windowed_C1_or_C2,10252,9857,3235,0.3281931622197423,0.31899202044004626,0.3375281645619883,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(0.75, 1.722]",label_A_windowed_any,9862,9862,1290,0.13080511052524843,0.12429378343521953,0.13760394415400445,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(0.75, 1.722]",label_A_windowed_C1_or_C2,9862,9862,1290,0.13080511052524843,0.12429378343521953,0.13760394415400445,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(1.722, 3.083]",label_A_windowed_any,9955,9955,488,0.049020592667001504,0.04495046976103577,0.0534386313078274,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(1.722, 3.083]",label_A_windowed_C1_or_C2,9955,9955,488,0.049020592667001504,0.04495046976103577,0.0534386313078274,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(3.083, 4.0]",label_A_windowed_any,10108,10108,535,0.05292837356549268,0.04873107256302976,0.05746535695910915,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(3.083, 4.0]",label_A_windowed_C1_or_C2,10108,10108,535,0.05292837356549268,0.04873107256302976,0.05746535695910915,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(4.0, 7.583]",label_A_windowed_any,9823,9823,248,0.025246869591774405,0.02232526444317368,0.028539650892570368,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(4.0, 7.583]",label_A_windowed_C1_or_C2,9823,9823,248,0.025246869591774405,0.02232526444317368,0.028539650892570368,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(-0.001, 0.806]",label_A_windowed_any,10033,9638,3184,0.3303589956422494,0.321038143132503,0.33981502335381275,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(-0.001, 0.806]",label_A_windowed_C1_or_C2,10033,9638,3184,0.3303589956422494,0.321038143132503,0.33981502335381275,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(0.806, 2.0]",label_A_windowed_any,10075,10075,1331,0.1321091811414392,0.12563729796617612,0.13886150080078252,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(0.806, 2.0]",label_A_windowed_C1_or_C2,10075,10075,1331,0.1321091811414392,0.12563729796617612,0.13886150080078252,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(2.0, 4.028]",label_A_windowed_any,9945,9945,442,0.044444444444444446,0.04056705220281322,0.048673636021595995,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(2.0, 4.028]",label_A_windowed_C1_or_C2,9945,9945,442,0.044444444444444446,0.04056705220281322,0.048673636021595995,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(4.028, 8.694]",label_A_windowed_any,9969,9969,101,0.010131407362824757,0.008345612498088564,0.012294589160650652,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(4.028, 8.694]",label_A_windowed_C1_or_C2,9969,9969,101,0.010131407362824757,0.008345612498088564,0.012294589160650652,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(8.694, 263.444]",label_A_windowed_any,9978,9978,738,0.07396271797955502,0.06898996945104925,0.07926338289136815,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(8.694, 263.444]",label_A_windowed_C1_or_C2,9978,9978,738,0.07396271797955502,0.06898996945104925,0.07926338289136815,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(22.019, 27.317]",label_A_windowed_any,10051,9962,1158,0.11624171853041558,0.11009517797790688,0.12268410798669369,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(22.019, 27.317]",label_A_windowed_C1_or_C2,10051,9962,1158,0.11624171853041558,0.11009517797790688,0.12268410798669369,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(27.317, 28.579]",label_A_windowed_any,10016,9943,1175,0.11817358945992155,0.11197542321865706,0.12466667754925517,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(27.317, 28.579]",label_A_windowed_C1_or_C2,10016,9943,1175,0.11817358945992155,0.11197542321865706,0.12466667754925517,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(28.579, 29.632]",label_A_windowed_any,9969,9886,1139,0.11521343313777059,0.10906860419991242,0.12165718329848398,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(28.579, 29.632]",label_A_windowed_C1_or_C2,9969,9886,1139,0.11521343313777059,0.10906860419991242,0.12165718329848398,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(29.632, 30.889]",label_A_windowed_any,10023,9952,1131,0.11364549839228295,0.10755847309298663,0.12003067325819394,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(29.632, 30.889]",label_A_windowed_C1_or_C2,10023,9952,1131,0.11364549839228295,0.10755847309298663,0.12003067325819394,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(30.889, 41.286]",label_A_windowed_any,9941,9862,1193,0.12096937740823363,0.11468068008287724,0.12755324074341204,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(30.889, 41.286]",label_A_windowed_C1_or_C2,9941,9862,1193,0.12096937740823363,0.11468068008287724,0.12755324074341204,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(1.106, 2.801]",label_A_windowed_any,10002,9924,1119,0.11275695284159613,0.10668322229655763,0.11913036146377343,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(1.106, 2.801]",label_A_windowed_C1_or_C2,10002,9924,1119,0.11275695284159613,0.10668322229655763,0.11913036146377343,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(2.801, 3.172]",label_A_windowed_any,9998,9918,1176,0.11857229280096794,0.11235708831676611,0.12508285351241008,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(2.801, 3.172]",label_A_windowed_C1_or_C2,9998,9918,1176,0.11857229280096794,0.11235708831676611,0.12508285351241008,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(3.172, 3.515]",label_A_windowed_any,10000,9916,1190,0.1200080677692618,0.11375853063677106,0.12655190866979563,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(3.172, 3.515]",label_A_windowed_C1_or_C2,10000,9916,1190,0.1200080677692618,0.11375853063677106,0.12655190866979563,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(3.515, 3.944]",label_A_windowed_any,10000,9937,1106,0.11130119754453054,0.1052670843826701,0.11763572198434386,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(3.515, 3.944]",label_A_windowed_C1_or_C2,10000,9937,1106,0.11130119754453054,0.1052670843826701,0.11763572198434386,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(3.944, 7.965]",label_A_windowed_any,10000,9910,1205,0.12159434914228053,0.11530604085659761,0.12817590999435272,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(3.944, 7.965]",label_A_windowed_C1_or_C2,10000,9910,1205,0.12159434914228053,0.11530604085659761,0.12817590999435272,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,dominant_seizure_cycle_days,"(0.499, 1.0]",label_A_windowed_any,49994,49599,5796,0.11685719470150607,0.11405963180805445,0.11971410207062533,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,dominant_seizure_cycle_days,"(0.499, 1.0]",label_A_windowed_C1_or_C2,49994,49599,5796,0.11685719470150607,0.11405963180805445,0.11971410207062533,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,dominant_seizure_cycle_days,"(1.0, 7.0]",label_A_windowed_any,1,1,0,0.0,0.0,0.7934506856227626,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,dominant_seizure_cycle_days,"(1.0, 7.0]",label_A_windowed_C1_or_C2,1,1,0,0.0,0.0,0.7934506856227626,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,pcos,False,label_A_windowed_any,50000,49605,5796,0.11684306017538555,0.11404581411339362,0.11969964572457034,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,pcos,False,label_A_windowed_C1_or_C2,50000,49605,5796,0.11684306017538555,0.11404581411339362,0.11969964572457034,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,peri_menarche,False,label_A_windowed_any,50000,49605,5796,0.11684306017538555,0.11404581411339362,0.11969964572457034,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,peri_menarche,False,label_A_windowed_C1_or_C2,50000,49605,5796,0.11684306017538555,0.11404581411339362,0.11969964572457034,Association between simulator inputs/realizations and simulated classification
