domain,parameter,code_config_field,cohort,setting_or_sampling_distribution,sampling_level,source_or_rationale,varied_in_sensitivity_analysis,realized_validation_target,run_version_commit
Seizure,Monthly burden,CHOCOLATES/defaultSeizureFreq,Both,Simulator-native empirical distribution,Participant,Goldenholz & Westover 2023,No,Realized seizures/month,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Seizure,Overdispersion,CHOCOLATES gamma-Poisson process,Both,Simulator-native,Participant/day,Goldenholz & Westover 2023,No,Audit daily variance/mean,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Seizure,Clustering,CHOCOLATES clustered process,Both,Simulator-native,Participant/day,Goldenholz & Westover 2023,No,Audit next-day clustering proxy,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Seizure,Multidien periods and amplitudes,CHOCOLATES seizure cycles,Both,Simulator-native,Participant/day,Goldenholz & Westover 2023; Karoly et al.,No,Generator period and audit spectrum,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Seizure,Interseizure constraints,CHOCOLATES refractory/cluster logic,Both,Simulator-native,Day,Goldenholz & Westover 2023,No,Not separately stored,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Menstrual,Age,cohorts.*.age_range,Cohort-specific,"{'healthy_ovulatory': {'age_range': [18.0, 45.0], 'force_ovulatory_cycles': True}, 'population': {'age_range': [13.0, 54.9], 'force_ovulatory_cycles': False}}",Participant,Investigator-configured study cohorts,No,Participant age,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Menstrual,Cycle length and variability,hormone_cycler profile/cycle sampling,Both,Literature-calibrated distributions,Participant/cycle,Li et al. 2023; Bull et al. 2019,No,Mean and within-person SD,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Menstrual,Bleeding duration,hormone_cycler bleeding sampling,Both,Literature-calibrated,Cycle,Bull et al. 2019,No,Available in simulator validation suite,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Menstrual,Ovulation and phase timing,hormone_cycler profile/render_cycle,Cohort-specific,Age/stage/modifier-dependent,Participant/cycle,Bull et al. 2019; simulator literature registry,No,Ovulatory fraction,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Menstrual,Hormone trajectories,hormone_cycler hormone anchors,Both,Interpolated daily reference medians,Cycle/day,Stricker et al. 2006,No,Simulator validation suite,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Menstrual,ILP rule,ilp_progesterone_threshold_ng_ml,Population,Maximum P4 on O+5 to O+9 < 5.0 ng/mL; nonovulatory/missing cycles flagged,Cycle,Investigator operationalization; threshold requires biological citation,No,Audit ILP fraction,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Menstrual,PCOS,population_factor_rates.pcos,Population,0.1,Participant,Investigator-configured stress-test rate,No,Participant prevalence,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Menstrual,Peri-menarche,population_factor_rates.peri_menarche_if_age_lt_20,Population,0.6,Participant conditional on age <20,Investigator-configured stress-test rate,No,Participant prevalence,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Menstrual,Perimenopause,population_factor_rates.perimenopause_if_age_gte_45,Population,0.55,Participant conditional on age ≥45,Investigator-configured stress-test rate,No,Participant prevalence,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Menstrual,Dysmenorrhea,population_factor_rates.dysmenorrhea,Population,0.12,Participant,Investigator-configured stress-test rate,No,Not retained in participant summary,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
Menstrual,Contraception/IUD settings,hormone_cycler MedicalFactors,Both,Available but not sampled in completed run,Participant,Simulator literature registry,No,Not applicable to completed run,code-sha256:790990c743eba8c906a4a3f7308269c7f8e33045a33af8dccbf31ae9596d6512; config-sha256:a74b5e244b27d698e749754ba114b58d543bf36bcf6002ed9faf449cb17e688c
