panel,pattern,cohort,phase_mode,window_type,window_value,threshold,n_attempted,n_applicable,n_defined,n_undefined,n_at_or_above,pct_defined_at_or_above
A,C1,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,43579,6421,43579,100.0
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,43579,6421,19691,45.18460726496707
A,C1,healthy_ovulatory,strict_herzog,cycle,3,1.69,50000,50000,43579,6421,11943,27.405401684297484
A,C1,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,43579,6421,10740,24.644897771862595
A,C1,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,43579,6421,6110,14.020514467977696
A,C1,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,43579,6421,4695,10.773537713118705
A,C1,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,43579,6421,3380,7.7560292801578745
A,C1,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,43579,6421,3128,7.177769108974506
A,C1,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,43579,6421,2915,6.689001583331421
A,C1,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,43579,6421,2526,5.796369811147571
A,C1,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,43579,6421,2436,5.589848321439225
A,C1,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,43579,6421,2269,5.206636223869295
A,C1,population,strict_herzog,cycle,3,0.0,50000,50000,43592,6408,43592,100.0
A,C1,population,strict_herzog,cycle,3,1.0,50000,50000,43592,6408,19592,44.94402642686732
A,C1,population,strict_herzog,cycle,3,1.69,50000,50000,43592,6408,11896,27.289410901082768
A,C1,population,strict_herzog,cycle,3,2.0,50000,50000,43592,6408,10770,24.706368140943294
A,C1,population,strict_herzog,cycle,3,3.0,50000,50000,43592,6408,6128,14.057625252339879
A,C1,population,strict_herzog,cycle,3,4.0,50000,50000,43592,6408,4751,10.89878876858139
A,C1,population,strict_herzog,cycle,3,5.0,50000,50000,43592,6408,3492,8.010644154890805
A,C1,population,strict_herzog,cycle,3,6.0,50000,50000,43592,6408,3219,7.3843824554964215
A,C1,population,strict_herzog,cycle,3,7.0,50000,50000,43592,6408,3004,6.891172692237108
A,C1,population,strict_herzog,cycle,3,8.0,50000,50000,43592,6408,2619,6.007983116168104
A,C1,population,strict_herzog,cycle,3,9.0,50000,50000,43592,6408,2544,5.835933198752064
A,C1,population,strict_herzog,cycle,3,10.0,50000,50000,43592,6408,2375,5.448247384841255
B,C2,healthy_ovulatory,strict_herzog,cycle,3,0.0,50000,50000,43958,6042,43958,100.0
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.0,50000,50000,43958,6042,19966,45.4206287820192
B,C2,healthy_ovulatory,strict_herzog,cycle,3,1.83,50000,50000,43958,6042,11480,26.11583784521589
B,C2,healthy_ovulatory,strict_herzog,cycle,3,2.0,50000,50000,43958,6042,10423,23.711269848491742
B,C2,healthy_ovulatory,strict_herzog,cycle,3,3.0,50000,50000,43958,6042,6571,14.948359797988989
B,C2,healthy_ovulatory,strict_herzog,cycle,3,4.0,50000,50000,43958,6042,4826,10.978661449565495
B,C2,healthy_ovulatory,strict_herzog,cycle,3,5.0,50000,50000,43958,6042,3911,8.89712907775604
B,C2,healthy_ovulatory,strict_herzog,cycle,3,6.0,50000,50000,43958,6042,3446,7.839301151098776
B,C2,healthy_ovulatory,strict_herzog,cycle,3,7.0,50000,50000,43958,6042,3102,7.056735975249102
B,C2,healthy_ovulatory,strict_herzog,cycle,3,8.0,50000,50000,43958,6042,2921,6.64497929842122
B,C2,healthy_ovulatory,strict_herzog,cycle,3,9.0,50000,50000,43958,6042,2814,6.401565130351699
B,C2,healthy_ovulatory,strict_herzog,cycle,3,10.0,50000,50000,43958,6042,2709,6.162700759816188
B,C2,population,strict_herzog,cycle,3,0.0,50000,50000,44039,5961,44039,100.0
B,C2,population,strict_herzog,cycle,3,1.0,50000,50000,44039,5961,20525,46.60641703944231
B,C2,population,strict_herzog,cycle,3,1.83,50000,50000,44039,5961,11679,26.519675741955993
B,C2,population,strict_herzog,cycle,3,2.0,50000,50000,44039,5961,10656,24.196734712413996
B,C2,population,strict_herzog,cycle,3,3.0,50000,50000,44039,5961,6780,15.395444946524671
B,C2,population,strict_herzog,cycle,3,4.0,50000,50000,44039,5961,5099,11.578373714207862
B,C2,population,strict_herzog,cycle,3,5.0,50000,50000,44039,5961,4168,9.464338427303073
B,C2,population,strict_herzog,cycle,3,6.0,50000,50000,44039,5961,3700,8.401643997365971
B,C2,population,strict_herzog,cycle,3,7.0,50000,50000,44039,5961,3387,7.690910329480688
B,C2,population,strict_herzog,cycle,3,8.0,50000,50000,44039,5961,3165,7.18681168963873
B,C2,population,strict_herzog,cycle,3,9.0,50000,50000,44039,5961,3048,6.921138082154454
B,C2,population,strict_herzog,cycle,3,10.0,50000,50000,44039,5961,2936,6.666818047639592
C,C3,population,strict_herzog,cycle,3,0.0,50000,19723,16255,3468,16255,100.0
C,C3,population,strict_herzog,cycle,3,1.0,50000,19723,16255,3468,10124,62.28237465395263
C,C3,population,strict_herzog,cycle,3,1.62,50000,19723,16255,3468,8667,53.3189787757613
C,C3,population,strict_herzog,cycle,3,2.0,50000,19723,16255,3468,8215,50.53829590895109
C,C3,population,strict_herzog,cycle,3,3.0,50000,19723,16255,3468,7625,46.908643494309445
