cohort,window_type,window_value,n_attempted,n_applicable,n_classifiable,positives,false_positive_rate_classifiable,wilson95_low,wilson95_high,positive_rate_all_attempted,indeterminate_reasons
population,calendar,1,50000,16193,7636,4406,0.5770036668412781,0.5658868255441524,0.5880430702971063,0.08812,"{""missing_comparator_phase"": 2835, ""missing_numerator_phase"": 742, ""undefined_zero_over_zero"": 4980}"
population,calendar,12,50000,32174,27724,12175,0.43915019477708844,0.43331717937569125,0.4450000706341657,0.2435,"{""missing_comparator_phase"": 563, ""undefined_zero_over_zero"": 3887}"
population,calendar,18,50000,35931,31420,12979,0.4130808402291534,0.40764736760630543,0.4185355640012873,0.25958,"{""missing_comparator_phase"": 442, ""undefined_zero_over_zero"": 4069}"
population,calendar,24,50000,38889,34372,13542,0.3939834749214477,0.3888299240094115,0.39916072027109584,0.27084,"{""missing_comparator_phase"": 326, ""undefined_zero_over_zero"": 4191}"
population,calendar,3,50000,22180,16141,8648,0.5357784523883279,0.5280770987594205,0.5434627799656795,0.17296,"{""missing_comparator_phase"": 1783, ""missing_numerator_phase"": 8, ""undefined_zero_over_zero"": 4248}"
population,calendar,36,50000,43766,38583,14293,0.3704481248218127,0.36564254847844907,0.3752794958752291,0.28586,"{""missing_comparator_phase"": 891, ""undefined_zero_over_zero"": 4292}"
population,calendar,4,50000,24189,18710,9711,0.5190272581507216,0.5118648528682906,0.5261818518431253,0.19422,"{""missing_comparator_phase"": 1388, ""undefined_zero_over_zero"": 4091}"
population,calendar,6,50000,26768,21874,10690,0.48870805522538174,0.4820862701489054,0.49533380573336,0.2138,"{""missing_comparator_phase"": 947, ""undefined_zero_over_zero"": 3947}"
population,calendar,9,50000,29732,25283,11683,0.4620891508127991,0.45594995052500553,0.4682398695787898,0.23366,"{""missing_comparator_phase"": 664, ""undefined_zero_over_zero"": 3785}"
population,cycle,12,50000,31085,27490,11811,0.4296471444161513,0.4238055879171509,0.43550836041584756,0.23622,"{""undefined_zero_over_zero"": 3595}"
population,cycle,3,50000,19759,16322,8714,0.533880651880897,0.5262205699435948,0.5415247896318799,0.17428,"{""missing_numerator_phase"": 14, ""undefined_zero_over_zero"": 3423}"
population,cycle,6,50000,25321,21804,10443,0.4789488167308751,0.47232232589939865,0.4855827239087888,0.20886,"{""missing_numerator_phase"": 1, ""undefined_zero_over_zero"": 3516}"
population,full,full_diary,50000,43766,38583,14293,0.3704481248218127,0.36564254847844907,0.3752794958752291,0.28586,"{""missing_comparator_phase"": 891, ""undefined_zero_over_zero"": 4292}"
