min_seizure_days,cohort,window_type,window_value,n_attempted,n_meeting_minimum,n_classifiable,positives,false_positive_rate_classifiable,wilson95_low,wilson95_high,positive_rate_all_attempted
2,healthy_ovulatory,calendar,1,50000,0,0,0,,,,0.0
2,healthy_ovulatory,calendar,3,50000,0,0,0,,,,0.0
2,healthy_ovulatory,calendar,4,50000,43188,43188,16441,0.3806844493840882,0.3761158892301664,0.385274233257994,0.32882
2,healthy_ovulatory,calendar,6,50000,45261,45261,15050,0.33251585249994475,0.3281899978615048,0.33687013465232285,0.301
2,healthy_ovulatory,calendar,9,50000,46776,46776,13462,0.2877971609372328,0.2837119056815541,0.2919172674639921,0.26924
2,healthy_ovulatory,calendar,12,50000,47522,47522,11586,0.24380287024956862,0.23996323130306763,0.24768392543168827,0.23172
2,healthy_ovulatory,calendar,18,50000,48306,48306,9175,0.18993499772285016,0.1864617844672777,0.19345752192219803,0.1835
2,healthy_ovulatory,calendar,24,50000,48778,48778,7659,0.15701750789290253,0.15381589268920173,0.16027314127550954,0.15318
2,healthy_ovulatory,calendar,36,50000,49193,49193,5454,0.11086943264285569,0.10812525674660195,0.11367437784892895,0.10908
2,healthy_ovulatory,full,full_diary,50000,49193,49193,5454,0.11086943264285569,0.10812525674660195,0.11367437784892895,0.10908
2,healthy_ovulatory,cycle,3,50000,0,0,0,,,,0.0
2,healthy_ovulatory,cycle,6,50000,45067,45067,15299,0.3394723411809084,0.33511432587465223,0.3438577205376671,0.30598
2,healthy_ovulatory,cycle,12,50000,47400,47400,11794,0.24881856540084388,0.24494702570368904,0.2527308150112817,0.23588
2,population,calendar,1,50000,0,0,0,,,,0.0
2,population,calendar,3,50000,0,0,0,,,,0.0
2,population,calendar,4,50000,43102,43102,16428,0.3811424063848545,0.37656820083341497,0.3857377963760798,0.32856
2,population,calendar,6,50000,45198,45198,15418,0.34112128855259083,0.3367643096624442,0.34550527191900715,0.30836
2,population,calendar,9,50000,46756,46756,13410,0.28680811018906666,0.2827262797034039,0.2909249693591759,0.2682
2,population,calendar,12,50000,47510,47510,11784,0.24803199326457587,0.2441690952216379,0.25193563416021897,0.23568
2,population,calendar,18,50000,48294,48294,9449,0.19565577504451898,0.19214195005106016,0.19921801320809762,0.18898
2,population,calendar,24,50000,48769,48769,7694,0.1577641534581394,0.15455595319653545,0.16102626425159403,0.15388
2,population,calendar,36,50000,49168,49168,5531,0.11249186462739993,0.10972919481865084,0.11531508114339264,0.11062
2,population,full,full_diary,50000,49168,49168,5531,0.11249186462739993,0.10972919481865084,0.11531508114339264,0.11062
2,population,cycle,3,50000,0,0,0,,,,0.0
2,population,cycle,6,50000,45225,45225,15199,0.3360751796572692,0.33173578582401525,0.34044241901681677,0.30398
2,population,cycle,12,50000,47496,47496,11612,0.24448374599966313,0.2406393603583623,0.24836946041754987,0.23224
3,healthy_ovulatory,calendar,1,50000,0,0,0,,,,0.0
3,healthy_ovulatory,calendar,3,50000,0,0,0,,,,0.0
3,healthy_ovulatory,calendar,4,50000,40269,40269,14719,0.3655168988551988,0.3608263762915969,0.37023307698599756,0.29438
3,healthy_ovulatory,calendar,6,50000,43129,43129,13745,0.3186950775580236,0.3143137290559506,0.32310872049607603,0.2749
3,healthy_ovulatory,calendar,9,50000,45273,45273,12573,0.2777151944867802,0.2736086296169533,0.2818594783272479,0.25146
3,healthy_ovulatory,calendar,12,50000,46362,46362,10891,0.23491221258789527,0.23107526685722207,0.23879308392359028,0.21782
3,healthy_ovulatory,calendar,18,50000,47490,47490,8681,0.18279637818488104,0.1793459511116725,0.1862981182120873,0.17362
3,healthy_ovulatory,calendar,24,50000,48165,48165,7273,0.15100176476694696,0.14783198471984316,0.15422720994148748,0.14546
