cohort,feature,level,outcome,n_group,n_classifiable,positives,rate,wilson95_low,wilson95_high,interpretation_scope
healthy_ovulatory,age,"(17.999, 23.4]",label_A_windowed_any,10105,10027,1156,0.11528872045477212,0.10918440738158368,0.12168769525585175,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(17.999, 23.4]",label_A_windowed_C1_or_C2,10105,10027,1156,0.11528872045477212,0.10918440738158368,0.12168769525585175,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(23.4, 28.8]",label_A_windowed_any,9903,9827,1088,0.1107153760048845,0.10466297869559223,0.1170720038032698,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(23.4, 28.8]",label_A_windowed_C1_or_C2,9903,9827,1088,0.1107153760048845,0.10466297869559223,0.1170720038032698,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(28.8, 34.2]",label_A_windowed_any,10007,9925,1137,0.11455919395465995,0.10844194305981743,0.12097469817349386,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(28.8, 34.2]",label_A_windowed_C1_or_C2,10007,9925,1137,0.11455919395465995,0.10844194305981743,0.12097469817349386,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(34.2, 39.6]",label_A_windowed_any,10024,9945,1123,0.11292106586224233,0.10684958787916385,0.11929146262737256,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(34.2, 39.6]",label_A_windowed_C1_or_C2,10024,9945,1123,0.11292106586224233,0.10684958787916385,0.11929146262737256,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(39.6, 45.0]",label_A_windowed_any,9961,9881,1127,0.11405728165165469,0.1079389361203371,0.12047559821758284,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,age,"(39.6, 45.0]",label_A_windowed_C1_or_C2,9961,9881,1127,0.11405728165165469,0.1079389361203371,0.12047559821758284,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(-0.001, 0.75]",label_A_windowed_any,10252,9857,3253,0.330019275641676,0.32080431946956267,0.33936666958913764,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(-0.001, 0.75]",label_A_windowed_C1_or_C2,10252,9857,3253,0.330019275641676,0.32080431946956267,0.33936666958913764,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(0.75, 1.722]",label_A_windowed_any,9862,9862,1217,0.12340296085986616,0.11705795314714523,0.13004123945554025,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(0.75, 1.722]",label_A_windowed_C1_or_C2,9862,9862,1217,0.12340296085986616,0.11705795314714523,0.13004123945554025,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(1.722, 3.083]",label_A_windowed_any,9955,9955,434,0.04359618282270216,0.03975796270784729,0.04778650342565975,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(1.722, 3.083]",label_A_windowed_C1_or_C2,9955,9955,434,0.04359618282270216,0.03975796270784729,0.04778650342565975,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(3.083, 4.0]",label_A_windowed_any,10108,10108,476,0.04709141274238227,0.04313103467039773,0.05139590809400855,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(3.083, 4.0]",label_A_windowed_C1_or_C2,10108,10108,476,0.04709141274238227,0.04313103467039773,0.05139590809400855,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(4.0, 7.583]",label_A_windowed_any,9823,9823,251,0.025552275272320065,0.02261237545775551,0.02886311246381309,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizure_days_per_month,"(4.0, 7.583]",label_A_windowed_C1_or_C2,9823,9823,251,0.025552275272320065,0.02261237545775551,0.02886311246381309,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(-0.001, 0.806]",label_A_windowed_any,10033,9638,3192,0.3311890433699938,0.3218619035069068,0.3406506970271824,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(-0.001, 0.806]",label_A_windowed_C1_or_C2,10033,9638,3192,0.3311890433699938,0.3218619035069068,0.3406506970271824,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(0.806, 2.0]",label_A_windowed_any,10075,10075,1251,0.12416873449131513,0.1178722648136469,0.13075169351121177,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(0.806, 2.0]",label_A_windowed_C1_or_C2,10075,10075,1251,0.12416873449131513,0.1178722648136469,0.13075169351121177,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(2.0, 4.028]",label_A_windowed_any,9945,9945,404,0.04062342885872298,0.036917528436344174,0.0446840793670359,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(2.0, 4.028]",label_A_windowed_C1_or_C2,9945,9945,404,0.04062342885872298,0.036917528436344174,0.0446840793670359,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(4.028, 8.694]",label_A_windowed_any,9969,9969,109,0.010933895074731668,0.009072623865892176,0.013171934992955586,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(4.028, 8.694]",label_A_windowed_C1_or_C2,9969,9969,109,0.010933895074731668,0.009072623865892176,0.013171934992955586,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(8.694, 263.444]",label_A_windowed_any,9978,9978,675,0.06764882742032471,0.06288563247938696,0.0727447984792554,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,seizures_per_month,"(8.694, 263.444]",label_A_windowed_C1_or_C2,9978,9978,675,0.06764882742032471,0.06288563247938696,0.0727447984792554,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,mean_cycle_length,"(23.933999999999997, 27.725]",label_A_windowed_any,10116,10031,1129,0.11255109161599043,0.10651406194682407,0.1188847615525268,Association between simulator inputs/realizations and simulated classification
