table_type,subset,cohort,window_type,window_value,definition,phase_mode,assumption_based_historical,n_windows,n_classifiable,positives,false_positive_rate,wilson95_low,wilson95_high,indeterminate_rate,p_prevalence_ge_39_1,p_prevalence_ge_44_2
window_false_positive,all,healthy_ovulatory,calendar,1,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_exact_any,strict_herzog,False,50000,23101,11616.0,0.5028353750919874,0.4963878747754059,0.5092819325778918,0.53798,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,1,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,3,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,4,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,6,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,12,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,A_exact_any,strict_herzog,False,50000,16673,8602.0,0.5159239488994182,0.5083355376132134,0.5235050241209237,0.66654,,
window_false_positive,all,population,cycle,6,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,12,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,population,full,full_diary,A_exact_any,strict_herzog,False,50000,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,1,A_windowed_any,strict_herzog,False,50000,38234,18249.0,0.4772976931526913,0.47229359944241195,0.48230634831171165,0.23531999999999997,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_windowed_any,strict_herzog,False,50000,45280,18696.0,0.4128975265017668,0.40837014684491696,0.4174396840817938,0.09440000000000004,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_windowed_any,strict_herzog,False,50000,46381,17894.0,0.3858045320282012,0.3813840476885498,0.39024393104661087,0.07238,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_windowed_any,strict_herzog,False,50000,47489,16185.0,0.3408157678620312,0.336565801441643,0.34509148551792673,0.05022000000000004,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_windowed_any,strict_herzog,False,50000,48775,12419.0,0.2546181445412609,0.2507713798928207,0.2585035580901218,0.024499999999999966,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_windowed_any,strict_herzog,False,50000,45122,18831.0,0.41733522450246,0.4127925081774385,0.42189201495089856,0.09755999999999998,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_windowed_any,strict_herzog,False,50000,47394,16299.0,0.3439042916824915,0.33964059414254305,0.34819329143946637,0.052120000000000055,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_windowed_any,strict_herzog,False,50000,48682,12364.0,0.2539747750708681,0.25012763148371064,0.2578607429133778,0.02636000000000005,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_windowed_any,strict_herzog,False,50000,49605,5576.0,0.11240802338473944,0.10965832837833753,0.11521774473215698,0.007900000000000018,,
window_false_positive,all,population,calendar,1,A_windowed_any,strict_herzog,False,50000,38083,19748.0,0.5185515846965838,0.5135317037660163,0.5235677233820115,0.23834,,
window_false_positive,all,population,calendar,3,A_windowed_any,strict_herzog,False,50000,45297,23184.0,0.5118219749652295,0.5072179452462242,0.5164239997047004,0.09406000000000003,,
window_false_positive,all,population,calendar,4,A_windowed_any,strict_herzog,False,50000,46369,23060.0,0.4973150164980914,0.49276452032876245,0.5018659575076859,0.07262000000000002,,
window_false_positive,all,population,calendar,6,A_windowed_any,strict_herzog,False,50000,47490,22546.0,0.47475257949041905,0.47026360025765607,0.47924564291276256,0.05020000000000002,,
window_false_positive,all,population,calendar,12,A_windowed_any,strict_herzog,False,50000,48710,20543.0,0.42174091562307536,0.41736171502190217,0.42613245887845014,0.025800000000000045,,
window_false_positive,all,population,cycle,3,A_windowed_any,strict_herzog,False,50000,45349,22907.0,0.5051269046726499,0.5005250383540896,0.5097279024770203,0.09301999999999999,,
window_false_positive,all,population,cycle,6,A_windowed_any,strict_herzog,False,50000,47488,22375.0,0.4711716644204852,0.46668462432797675,0.4756633681714493,0.05023999999999995,,
window_false_positive,all,population,cycle,12,A_windowed_any,strict_herzog,False,50000,48706,20061.0,0.4118794399047345,0.40751561375602113,0.4162571651544395,0.025880000000000014,,
window_false_positive,all,population,full,full_diary,A_windowed_any,strict_herzog,False,50000,49587,17983.0,0.36265553471676043,0.35843478448352395,0.3668975631978394,0.008260000000000045,,
window_false_positive,all,healthy_ovulatory,calendar,1,A_windowed_excluding_C3,strict_herzog,False,50000,38234,18249.0,0.4772976931526913,0.47229359944241195,0.48230634831171165,0.23531999999999997,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_windowed_excluding_C3,strict_herzog,False,50000,45280,18696.0,0.4128975265017668,0.40837014684491696,0.4174396840817938,0.09440000000000004,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_windowed_excluding_C3,strict_herzog,False,50000,46381,17894.0,0.3858045320282012,0.3813840476885498,0.39024393104661087,0.07238,,
