table_type,subset,cohort,window_type,window_value,definition,phase_mode,assumption_based_historical,n_windows,n_classifiable,positives,false_positive_rate,wilson95_low,wilson95_high,indeterminate_rate,p_prevalence_ge_39_1,p_prevalence_ge_44_2
window_false_positive,all,healthy_ovulatory,calendar,1,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_exact_any,strict_herzog,False,50,17,5.0,0.29411764705882354,0.1327998961029523,0.5313311006653985,0.6599999999999999,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,1,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,3,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,4,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,6,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,12,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,A_exact_any,strict_herzog,False,50,19,8.0,0.42105263157894735,0.23141891282454238,0.6372409646574496,0.62,,
window_false_positive,all,population,cycle,6,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,12,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,full,full_diary,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,1,A_windowed_any,strict_herzog,False,50,32,14.0,0.4375,0.2816533111504036,0.6067440886314801,0.36,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_windowed_any,strict_herzog,False,50,40,15.0,0.375,0.2422297916723327,0.5296756086269889,0.19999999999999996,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_windowed_any,strict_herzog,False,50,44,14.0,0.3181818181818182,0.19999307710853426,0.46556896062182235,0.12,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_windowed_any,strict_herzog,False,50,45,15.0,0.3333333333333333,0.21358874934330035,0.47929511690099585,0.09999999999999998,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_windowed_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_windowed_any,strict_herzog,False,50,41,13.0,0.3170731707317073,0.19564613898988575,0.4698419964434429,0.18000000000000005,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_windowed_any,strict_herzog,False,50,35,12.0,0.34285714285714286,0.20831694987048957,0.5084805048600374,0.30000000000000004,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_windowed_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_windowed_any,strict_herzog,False,50,45,15.0,0.3333333333333333,0.21358874934330035,0.47929511690099585,0.09999999999999998,,
window_false_positive,all,population,calendar,1,A_windowed_any,strict_herzog,False,50,37,20.0,0.5405405405405406,0.3838404689217949,0.6896143019562697,0.26,,
window_false_positive,all,population,calendar,3,A_windowed_any,strict_herzog,False,50,45,24.0,0.5333333333333333,0.3907745474012537,0.670648679349887,0.09999999999999998,,
window_false_positive,all,population,calendar,4,A_windowed_any,strict_herzog,False,50,46,27.0,0.5869565217391305,0.44339497779846154,0.7171139677518723,0.07999999999999996,,
window_false_positive,all,population,calendar,6,A_windowed_any,strict_herzog,False,50,47,26.0,0.5531914893617021,0.41245459838218734,0.6858903373450472,0.06000000000000005,,
window_false_positive,all,population,calendar,12,A_windowed_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,A_windowed_any,strict_herzog,False,50,44,28.0,0.6363636363636364,0.4886637687904344,0.762164702911798,0.12,,
window_false_positive,all,population,cycle,6,A_windowed_any,strict_herzog,False,50,18,12.0,0.6666666666666666,0.43749467295945105,0.837212252491663,0.64,,
