table_type,subset,cohort,window_type,window_value,definition,phase_mode,assumption_based_historical,n_windows,n_classifiable,positives,false_positive_rate,wilson95_low,wilson95_high,indeterminate_rate,p_prevalence_ge_39_1,p_prevalence_ge_44_2
window_false_positive,all,healthy_ovulatory,calendar,1,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_exact_any,strict_herzog,False,50,19,9.0,0.47368421052631576,0.2732980516117956,0.6829219075488682,0.62,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,1,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,3,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,4,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,6,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,12,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,A_exact_any,strict_herzog,False,50,20,10.0,0.5,0.29929800819821234,0.7007019918017876,0.6,,
window_false_positive,all,population,cycle,6,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,12,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,full,full_diary,A_exact_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,1,A_windowed_any,strict_herzog,False,50,33,20.0,0.6060606060606061,0.43683440819940234,0.7531689256552291,0.33999999999999997,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_windowed_any,strict_herzog,False,50,41,19.0,0.4634146341463415,0.32056233976336046,0.6125352873233052,0.18000000000000005,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_windowed_any,strict_herzog,False,50,45,20.0,0.4444444444444444,0.3093893003499759,0.5882386550647896,0.09999999999999998,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_windowed_any,strict_herzog,False,50,45,20.0,0.4444444444444444,0.3093893003499759,0.5882386550647896,0.09999999999999998,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_windowed_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_windowed_any,strict_herzog,False,50,43,20.0,0.46511627906976744,0.32511057704121815,0.6108435952768602,0.14,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_windowed_any,strict_herzog,False,50,35,15.0,0.42857142857142855,0.2798456817718068,0.5914258885602508,0.30000000000000004,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_windowed_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_windowed_any,strict_herzog,False,50,45,20.0,0.4444444444444444,0.3093893003499759,0.5882386550647896,0.09999999999999998,,
window_false_positive,all,population,calendar,1,A_windowed_any,strict_herzog,False,50,39,26.0,0.6666666666666666,0.5097739439934599,0.7936704381040163,0.21999999999999997,,
window_false_positive,all,population,calendar,3,A_windowed_any,strict_herzog,False,50,46,32.0,0.6956521739130435,0.5519435355159235,0.8092015919723277,0.07999999999999996,,
window_false_positive,all,population,calendar,4,A_windowed_any,strict_herzog,False,50,46,30.0,0.6521739130434783,0.5077005884206276,0.7731900662924567,0.07999999999999996,,
window_false_positive,all,population,calendar,6,A_windowed_any,strict_herzog,False,50,47,30.0,0.6382978723404256,0.4953589653479511,0.7603378675428585,0.06000000000000005,,
window_false_positive,all,population,calendar,12,A_windowed_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,A_windowed_any,strict_herzog,False,50,45,33.0,0.7333333333333333,0.5896116224686505,0.8403509647893348,0.09999999999999998,,
